True Term Num,Extracted Term Num,TP,Cut Off,Too Long,Split Term,expected,extracted
1,2,1,0,0,1,m-composition of ∈ G over G,m-composition of ∈ G over G ### weak compositions over G
1,3,0,0,1,1,recurrent,recurrent vertices###class of locally restricted compositions###span of (G;D)
4,4,3,0,1,4,transfer matrix;weight;start vector;finish vector,Transfer matrix###weights###start vector###finish vector
1,1,1,0,0,1,threshold graph,threshold graph
1,1,1,0,0,1,d-expands,d-expands
1,1,1,0,0,1,strictly balanced,strictly balanced
1,1,1,0,0,1,k-matching,k-matching
3,3,1,0,4,3,absorber;size;ends,absorber###size of the absorber###ends of the absorber
1,1,1,0,0,1,pseudodeterminant,pseudodeterminant
3,3,2,0,1,3,(i-1)-acyclic;i-dimensional (spanning) tree;i-tree,(i-1)-acyclic CW-complex###i-dimensional (spanning) tree###i-tree
1,2,1,0,0,1,blocker,Alexander dual###blocker
1,1,1,0,0,1,double dominating set,double dominating set
1,3,0,0,1,1,generalised Petersen graph,"generalised Petersen graph P_n,k###V(P_n,k)###E(P_n,k)"
1,2,1,0,0,1,lattice sierpinskisation,lattice sierpinskisation###𝒮_Lat(α)
1,3,1,0,0,1,k-partition,k-partition###r-partite r-graphs###r-polyad
1,3,1,0,0,1,k-partition,k-partition###r-partite r-graphs###r-polyad
1,1,0,0,1,1,⟨⟩̣-good;⟨⟩̣-good,⟨⟩̣-good partition
2,2,0,0,0,0,"(,d)-regular—or;-regular—in",-regular k-graph###k-partite k-graph
1,1,0,0,1,1,-regular,-regular partition
1,2,0,0,1,1,f-equitable,"f-equitable partition###(r,a_1,…,a_r)-partition"
1,3,1,0,0,1,k-complex,k-complex###k-partite hypergraph###rank
1,1,1,0,0,1,fair win,fair win
1,1,1,0,0,1,early win,early win
1,1,1,0,0,1,humiliating win,humiliating win
1,1,1,0,0,1,simplicial,simplicial
6,6,6,3,3,6,nice;good;weakly good;weakly bad of type 1;weakly bad of type 2;bad,nice###good###weakly good###weakly bad of type 1###weakly bad of type 2###bad
1,1,1,0,0,1,Betti poset,Betti poset
1,1,1,0,0,1,rigid ideal,rigid ideal
1,4,1,0,0,1,rigid deformation,rigid deformation###rigid ideal###resolution of J###minimally resolve I
1,2,0,1,0,0,maximal ranked subposet of,maximal ranked subposet###C
1,3,0,0,0,0,A Fractional Repetition,"Fractional Repetition (FR) code###repetition degree###(n,k,d) DSS"
1,1,1,0,0,1,benign tableau,benign tableau
3,3,1,0,0,1,pencil;parabolic congruence;axis,parabolic congruence###linear complex###incidence structure
2,2,2,0,0,2,Parikh matrix mapping;Parikh matrices,Parikh matrix mapping###Parikh matrices
1,1,1,0,0,1,v-core,v-core
2,1,0,0,1,1,print;print word;print,print of w
1,3,0,1,0,0,M-ambiguity sequence corresponding to φ,M-ambiguity sequence###M-ambiguous###M-unambiguous
1,1,1,0,0,1,rational polyhedron,rational polyhedron
3,2,2,0,0,2,M-equivalent;M-ambiguous;M-unambiguous,M-equivalent###M-ambiguous
1,2,1,0,0,1,Dobrushin coefficient,Dobrushin coefficient###total variation distance of probability distributions
1,1,1,0,0,1,Configuration entropy,configuration entropy
1,2,1,1,0,1,flip in row k,flip in row k###l
3,5,0,0,3,3,dimension vector;indecomposable;representation-finite,quiver###representation of Q###dimension vector of a representation V###indecomposable representation###representation-finite quiver
1,2,1,0,0,1,contour,"contour###G_C=(I_C,E_C)"
1,6,0,0,1,1,Polynomial nilsequence,filtration G_ ### polynomial sequence adapted to G_ ### lattice ### filtered nilmanifold ### polynomial orbit ### polynomial nilsequence of degree d
1,5,0,0,0,0,Lipschitz functions,(G/Γ→^D) ### ((G/Γ) →^D) ### ((G/Γ) →S^2D-1) ### ((G/Γ) →^ω) ### ((G/Γ) →S^ω)
1,3,0,0,1,1,Nilsequence,nilsequence of degree ≤ s###standard filtered nilmanifold of degree ≤ s###limit polynomial sequence
1,3,1,0,0,1,Nilcharacter,nilcharacter ### vertical frequency ### Ξ^d([N])
1,3,0,0,1,1,Symbol,symbol of χ###nilcharacters###abelian multiplicative group
1,2,1,0,0,1,Ordering,ordering###finite downset
1,3,0,0,2,1,Polynomial map,derivative###polynomial maps###limit polynomial maps
1,5,1,0,0,1,Universal nilmanifold,dimension vector###universal nilpotent group###degree-rank filtration###universal nilmanifold###universal vertical frequency
1,1,0,0,1,1,Representation,total frequency representation of the nilcharacter χ
1,3,0,0,0,0,Limit objects,ultralimit###limit natural number###limit real number
1,1,0,0,1,1,σ-limit,σ-limit set
1,3,1,0,1,1,Polynomial map,derivative ∂_h g : H → G ### polynomial map ### space of all polynomial maps
1,7,0,0,1,1,rational,Factorisation theorem###dense arithmetic subprogressions###polynomial sequence###standard rational subgroup###totally equidistributed###horizontal Taylor coefficients###conjugate
6,5,4,0,1,5,filtration;polynomial sequence;rational;filtered nilmanifold;polynomial orbit;polynomial nilsequence,Polynomial nilsequence###filtration G_###polynomial sequence###filtered nilmanifold###polynomial orbit
1,3,1,0,0,1,nilsequence,Nilsequence###standard filtered nilmanifold###limit polynomial sequence
3,3,3,0,0,3,d-correlate;d-biased;d-unbiased,d-correlate###d-biased###d-unbiased
2,3,2,0,1,2,nilcharacter;vertical frequency,nilcharacter###vertical frequency###The space of all nilcharacters of degree d on [N]
2,5,1,0,0,1,equivalent;symbol,symbol###nilcharacters###nilsequence###equivalence class###abelian multiplicative group
2,2,2,0,0,2,ordering;finite downset,Ordering###finite downset
2,2,2,0,0,2,I-filtration;degree;degree,I-filtration###degree
2,6,2,0,0,2,"nilpotent Lie group of multi-degree ≤ (d_1,…,d_k);nilpotent Lie group of degree-rank ≤ (d,r)","nilpotent Lie group of multi-degree ≤ (d_1,…,d_k) ### nilpotent Lie group of multidegree ⊆ J ### nilpotent Lie group of degree-rank ≤ (d,r) ### filtered nilmanifold of multidegree ≤ (d_1,…,d_k) ### filtered nilmanifold of multidegree ⊆ J ### filtered nilmanifold of degree-rank ≤ (d,r)"
3,4,3,0,0,3,I-filtered quotient space;I-filtered homomorphism;I-filtered nilmanifold,I-filtered quotient space###I-filtered homomorphism###I-filtered nilmanifold###degree
3,3,3,1,1,3,degree filtration;multidegree filtration;degree-rank filtration,degree filtration###multidegree filtration###degree-rank filtration
1,5,0,0,4,1,polynomial,Polynomial map###derivative###limit polynomial maps###space of all polynomial maps###space of all limit polynomial maps
3,7,2,0,1,3,limit polynomial orbit;degree d nilcharacter;vertical frequency,"nilsequence of degree ⊂ J###nilsequence of degree ≤ d###limit polynomial orbit###degree d nilcharacter###vertical frequency of F###multidegree (d_1,…,d_k) nilcharacter###degree-rank (d,r) nilcharacter"
2,3,2,0,0,2,equivalent;symbol,equivalent###symbol###space of all such equivalence classes
1,4,1,0,0,1,"linearised (1,s-1)-function","linearised (1,s-1)-function###limit function###factorisation###degree ≤ s-2 nilsequence"
4,5,4,0,0,4,dimension vector;universal nilpotent group;universal nilmanifold;universal vertical frequency,Universal nilmanifold###Universal vertical frequency###Dimension vector###Universal nilpotent group###Degree-rank filtration
3,2,0,0,3,2,representation;horizontal frequency vector;total frequency representation,representation of χ###total frequency representation of the nilcharacter χ
1,2,1,0,0,1,independent modulo O(),Linear independence###independent modulo O()
5,5,1,0,4,5,independent;rational;small;disjoint union;represented,independent horizontal frequency vector###rational horizontal frequency vector###small horizontal frequency vector###disjoint union###represented horizontal frequency vector
3,4,3,0,0,3,ultralimit;limit natural number;limit real number,ultralimit###limit natural number###limit real number###limit objects
9,7,7,0,0,7,ultrapower;ultrapower;limit set;limit group;limit finite set;limit subset;ultralimit;limit function;limit map;in a limit fashion,ultrapower ### limit set ### limit group ### limit finite set ### limit subset ### limit function ### limit map
3,10,3,1,2,3,bounded;infinitesimal;unbounded;bounded;unbounded,Asymptotic notation###bounded###unbounded###infinitesimal###limit complex number###limit non-negative number###limit element###standard topological space###standard compact subset###bounded elements
3,4,3,1,1,3,correlate;biased;unbiased,correlate###biased###unbiased###L^p norms
7,4,2,0,3,4,dense;many;sparse;few;co-sparse;almost all;almost bounded,dense###sparse subset###co-sparse subset###almost bounded
2,1,0,0,1,1,σ-limit;standard,σ-limit set
2,2,0,0,2,2,derivative;polynomial,Polynomial map###derivative ∂_h g
5,3,1,0,5,5,Host-Kra cube group;order;cubes;dimension;degrees,"Host-Kra cube group ### order of the Host-Kra cube groups ### cubes of dimension m and degrees i_1,…,i_m"
2,2,1,0,1,2,equidistributed;totally equidistributed,Equidistribution###totally equidistributed
1,1,1,0,0,1,arc elimination polynomial,arc elimination polynomial
4,1,0,0,4,4,fan;f;a;n,fan (= far-apart nine)
1,5,0,0,0,0,generically satisfy,"property P###words of reduced length m=2n###submodules W_1,...,W_l###ranks###property P(ϕ(x,y))"
1,4,1,0,1,1,abstract,abstract###MD-graph###underlying abstract graph###support of a flow
1,2,1,0,0,1,reduced wordlength,reduced wordlength###reduced length
2,2,2,1,1,2,commutator length;stable commutator length,commutator length ### stable commutator length
2,6,2,0,3,2,complete digraph;flow,flow###inflow###outflow###complete digraph###nonnegative map###cone of such flows
2,3,1,0,1,2,weight-function;disc-vectors,weight-function h_z ### cone V(z) ### disc-vectors
3,3,0,0,3,3,a posteriori;sail;Klein-function,"rational, a posteriori finite sided flow-polyhedron P(z)###sail S(z)###Klein-function κ_z"
2,2,0,0,2,2,paired vectors;unit-outflow vectors,set of paired vectors###compact set of unit-outflow vectors
1,1,1,0,0,1,extremal point of S,extremal point of S
1,4,1,0,0,1,polyhedron associated to w,MD-graph###edge-weights###nonzero (nonnegative) integral flows###polyhedron associated to w
1,1,1,0,0,1,essential disc-vector,essential disc-vector
1,1,1,0,0,1,distance-hereditary,distance-hereditary
2,5,2,1,0,2,chordal;triangulated,connected graph###chordal###triangulated###C_⩾ 4-free###chord
1,1,1,0,0,1,al­ter­na­ted path,al­ter­na­ted path
2,2,2,0,0,2,original graph;accessibility graph,original graph###accessibility graph
1,1,1,0,0,1,split,split
1,3,1,0,0,1,center-center path,center-center path###totally decomposable graph###reduced clique-star split-decomposition tree
1,7,1,0,0,1,clique-center path,clique-center path###totally decomposable graph###reduced clique-star split-decomposition tree###star-node###marker vertex###clique-node###interior edge
1,1,1,0,0,1,weakly geodetic,weakly geodetic
1,1,1,0,0,1,ptolemaic,ptolemaic
1,1,1,0,0,1,cactus,cactus
1,1,1,0,0,1,Region vector,region vector
3,3,3,1,1,3,Type 1;Type 2;Type 2.i,Type 1###Type 2###Type 2.i
1,2,1,0,0,1,Schnyder wood,Schnyder wood###Schnyder property
1,3,0,0,0,0,(toroidal) Schnyder wood,Toroidal Schnyder wood###Schnyder property###monochromatic cycle
2,3,0,0,0,0,suspension;(planar) Schnyder wood,Planar Schnyder wood###Schnyder property###monochromatic cycle
1,1,1,0,0,1,region vector,region vector
1,4,0,0,0,0,labeled,Euler system###ϕ_C###χ_C###ψ_C
1,1,1,0,0,1,labeled local complement,labeled local complement
1,1,1,0,0,1,labeled local complement,labeled local complement
1,1,1,0,0,1,labeled interlace polynomial,labeled interlace polynomial
1,2,1,0,0,1,simplification,simplification###labeled simple graph G_simp
1,1,1,0,0,1,2-label interlace polynomial,2-label interlace polynomial
1,1,1,0,0,1,vertex-nullity interlace polynomial,vertex-nullity interlace polynomial
1,1,1,0,0,1,interlace polynomial,interlace polynomial
2,2,0,0,2,2,join;split,"join of H and K with respect to S and T###split of (H,S)∗(K,T)"
1,1,1,0,0,1,split reduction,split reduction
2,5,0,0,2,2,type;labels,"type of P∈ P_λ(H)###labels of H###ϕ(H,S)###χ(H,S)###ψ(H,S)"
1,2,0,0,1,1,split width,split width of a graph G###sw(G)
1,1,1,0,0,1,"even [a,b]-factor","even [a,b]-factor"
1,1,1,0,0,1,special;special,special
1,8,0,0,1,1,butterfly,"red butterfly###|AB|_r###|AB|_b###|ABC|_r###|ABC|_b###G_v,W^blue###G_v,W^red###complete directed bipartite graph K_t,t"
4,3,3,1,0,3,satisfactory;sink;D is a simple directed graph with no satisfactory vertices;minimal criminal,satisfactory ### sink ### minimal criminal
5,5,4,0,2,5,walkable neighborhood;anti-satisfaction;base of a transitive triangle;2-directed diamond;bases,walkable neighborhood###anti-satisfaction###base of a transitive triangle###2-directed diamond###bases of the 2-directed diamond
3,3,3,1,1,3,tight;tight clique;cluster,tight###tight clique###cluster
1,2,1,0,0,1,folding of G at T,folding of G at T###R_T
2,2,1,0,1,2,triangles;cherries,triples inducing triangles ### cherries
1,1,1,0,0,1,foldable,foldable
2,2,2,0,0,2,lex graph;lex order,lex graph###lex order
3,3,1,0,3,3,threshold graph;code;join,threshold graph###code of a threshold graph###join of graphs
1,1,0,1,0,0,compression of G from x to y,compression
1,1,1,0,0,1,dischargeable,dischargeable
4,2,1,0,2,3,generalized;tableau;content;semistandard,generalized α-tableau###semistandard
4,3,1,0,1,2,cell complex;faces;edges;boundary function,cell complex K###boundary function###boundary of the face
1,1,0,1,0,0,an elementary subdivision of,elementary subdivision
3,3,2,1,2,3,connected map;faces;map,connected map###faces of M###map
1,3,0,0,3,1,genus,genus g(M) of M ### Euler genus s(M) of M ### signed genus g̅(M) of M
1,1,0,0,0,0,deleting,Map edge deletion
1,1,0,0,0,0,contracting,Map edge contraction
1,2,1,0,0,1,surface Tutte polynomial,surface Tutte polynomial###signed genus
1,6,1,0,0,1,canonical subgeometry,_q^t(V)###_q-vector subspace###_ _q(W)###_ _q^t(V)###W _q^t###canonical subgeometry
1,1,1,0,0,1,linear set of pseudoregulus type,linear set of pseudoregulus type
1,1,1,0,0,1,(Hasse) Derivative,(Hasse) derivative
1,1,0,0,1,1,Multiplicity,multiplicity of P at
1,2,0,0,1,1,Extractor,"(k,)-extractor###explicit"
3,3,3,0,0,3,k-correspondence assignment;C-coloring;correspondence chromatic number,k-correspondence assignment###C-coloring###correspondence chromatic number
1,3,0,0,1,1,supportive restriction,supportive restriction of π###tropical torus###left diagonal ^d action on tropical matrices
3,6,3,1,1,3,categorical product;lexicographic product;deleted lexicographic product,categorical product###lexicographic product###deleted lexicographic product###Kronecker product###direct product###tensor product
2,2,0,1,0,0,irreducibly;primitively,primitive###basic
2,2,0,0,3,2,feasible cone;pointed feasible cone,feasible cone of P at F ### pointed feasible cone of P at F
4,3,2,1,2,3,double graph;Jigsaw percolation;percolation;solved,double graph###percolation###the double graph is solved
1,2,0,0,1,1,internally spanned,"internally spanned set###I(G,m)"
2,10,2,0,0,2,rounds;steps,1-by-1 algorithm###rounds###steps###active vertices###discarded vertices###trial vertices###edges###red edges###blue edges###sprinkling
2,6,2,0,0,2,trial set;active set,trial set###active set###B_t###C_t###X_t+1###A_t+1
1,2,1,0,0,1,decomposition point,decomposable at j###decomposition point
1,1,1,0,0,1,marked point,marked point
1,1,1,0,0,1,special,special
1,2,1,1,0,1,good pair of edges,good pair of edges###good pair
2,8,2,1,1,2,parallel class;parallel,Hamiltonian alternating cycles###c.g.s.###good pair###exterior edge###sequence of edges###parallel class###exterior edges###parallel
3,3,3,2,2,3,red-singular;blue-singular;singular;red-singular;blue-singular;singular,red-singular ### blue-singular ### singular
1,1,1,0,0,1,good cycle,good cycle
2,2,1,0,1,2,quantum c-coloring;quantum chromatic number,quantum c-coloring###quantum chromatic number χ_q(G)
3,3,1,0,2,3,orthogonal representation;orthogonal rank;flat,(complex) orthogonal representation ### (complex) orthogonal rank ### flat
1,2,1,0,0,1,aperiodic,span of d ### aperiodic
2,2,1,1,0,1,the smooth inverse-function schema;aperiodic,smooth inverse-function schema###aperiodic
4,5,3,0,0,3,a weight;regular;inversive;C-acceptable,weight of a vertex###regular###inversive###sign###C-acceptable
2,5,0,0,2,1,v;w;v;w;w;v,eigenvalue###right and left eigenvectors###normalized###small perturbation###condition number
2,2,0,0,2,2,parent;child,parent of p###child of a position p
1,1,1,0,0,1,child-bijective,child-bijective
1,2,1,0,0,1,bidirectional ballot sequence,bidirectional ballot sequence###B_n
2,2,1,0,2,2,atom;contents,atom###contents of an atom
1,3,1,0,0,1,Wilf-equivalent,Wilf-equivalent###generating functions F_A###generating functions F_B
1,6,1,0,0,1,cohorts,cohorts###binary relation###equivalence relation###arch systems###atoms###empty arch systems
1,2,0,0,0,0,bipartite,c-bicluster fan###c-biCambrian fan
1,2,0,0,0,0,bipartite,c-bisortable elements###twin c-clusters
1,2,0,0,0,0,disjoint,Coxeter group W with simple generators S###(W;q)
3,3,2,1,0,2,circuit walk of length k;circuit distance;circuit diameter,circuit walk###circuit distance###circuit diameter
1,1,0,0,1,1,stoss;stoss,stoss complex
1,1,1,0,0,1,rank,rank
1,1,1,0,0,1,Scarf complex,Scarf complex
1,1,1,0,0,1,maximal,maximal
1,1,0,0,1,1,stoss;stoss,stoss complex
1,1,0,0,1,1,amalgamation,amalgamation of L_1 and L_2
1,1,1,0,0,1,axial function,axial function
2,3,2,0,0,2,k-independent;effective,k-independent###effective###1-skeleton
1,1,0,0,1,1,embedding,embedding of a 1 skeleton
1,1,0,0,1,1,trivial normal holonomy,subskeleton with trivial normal holonomy
2,2,1,1,0,1,polarizing;admits a polarization,polarizing###polarization
1,1,1,0,0,1,Morse function,Morse function
1,1,1,0,0,1,non-cyclic,non-cyclic
1,1,1,0,0,1,compatibility system,compatibility system
1,1,1,0,0,1,generalized axial function,generalized axial function
3,4,3,2,2,3,path-connection number;normal path-connection number;local path-connection number,path-connection number###normal path-connection number###local path-connection number###holonomy
1,1,0,0,1,1,level,level subskeleton
1,1,1,0,0,1,blow-up,blow-up
1,3,1,0,0,1,k-face,k-face###generalized 1-skeleton###k-valent subskeleton
1,2,1,0,0,1,enough k-faces,(polarized) generalized 1-skeleton###enough k-faces
1,1,1,0,0,1,reducible,reducible
1,1,1,0,0,1,dependency graph,dependency graph
1,1,1,0,0,1,"(k,d)-expander","(k,d)-expander"
1,1,1,0,0,1,k-rainbow-pseudorandom,k-rainbow-pseudorandom
1,2,0,0,1,1,Stanley sequence,Stanley sequence S(A)###3-free set of nonnegative integers
3,4,2,0,1,3,independent;character;repeat factor,Stanley sequence###independent Stanley sequences###character###repeat factor
4,5,2,0,2,4,regular;core;shift index;character,Stanley sequence###regular###core of S(A)###shift index###character of (a_n)
2,2,0,0,3,2,covered;covered;modulo N,covered by A###covered by A modulo N
2,2,2,0,0,2,modular set modulo N;modular Stanley sequence modulo N,modular set modulo N ### modular Stanley sequence modulo N
3,4,3,0,0,3,modular;character;repeat factor,Stanley sequence S(A)###modular###character###repeat factor
3,3,2,0,1,3,pseudomodular;core;shift index,pseudomodular###core of S(A)###shift index
2,3,1,0,1,2,basic;basis,Stanley sequence S(A)###basic###basis of S(A)
1,2,1,0,0,1,p-Stanley sequence,p-Stanley sequence###p-free set
2,2,2,1,1,2,p-covered by A;p-covered by A modulo N,p-covered by A###p-covered by A modulo N
2,2,0,0,2,2,modular p-free set;modular p-Stanley sequence,modular p-free set modulo N ### modular p-Stanley sequence modulo N
2,3,2,0,0,2,basic;basis,p-Stanley sequence###basic###basis
2,2,2,0,0,2,elementary dual equivalence;dual equivalent;dual equivalent,elementary dual equivalence###dual equivalent
1,4,1,0,0,1,"signed, colored graph of type (n,N)","signed, colored graph of type (n,N)###finite vertex set V###signature function σ###collection E_i"
1,2,0,1,0,0,"dual equivalence graph of type (n,N)","signed, colored graph###dual equivalence graph"
2,2,2,1,1,2,morphism;isomorphism,morphism###isomorphism
1,1,0,1,0,0,admits an i-neighbor,i-neighbor
1,1,1,0,0,1,k-ribbon word,k-ribbon word
1,1,0,1,0,0,i-package of w,i-package
2,2,2,0,0,2,i-incompatible;i-compatible,i-incompatible###i-compatible
1,4,0,1,0,0,satisfies axiom 4',axiom 4'###ax4'a###ax4'b###ax4'c
1,1,1,0,0,1,D graph,D graph
1,2,0,0,1,1,Multiplicative Derivative,multiplicative derivative in direction h of f###Δ_hf
1,1,0,0,1,1,Gowers norm,Gowers norm of order d
1,1,1,0,0,1,Additive Derivative,additive derivative
1,1,1,0,0,1,d-tiling,d-tiling
1,2,0,0,1,1,fractional part,floor of x ### fractional part of x
1,5,0,0,1,1,(intermediate) inhomogeneous random graph,"(intermediate) inhomogeneous random graph with kernel###G(n,)###V_n###p_ij###p_n"
1,1,1,0,0,1,isolation parameter,isolation parameter
2,3,2,1,1,2,reducible;irreducible,kernel###reducible###irreducible
2,2,2,0,0,2,lower approximation kernels;partition graphs,lower approximation kernels###partition graphs
1,1,1,0,0,1,special,special
1,1,1,0,0,1,arc,arc
1,1,1,0,0,1,"(T,)-path","(T,)-path"
1,2,1,0,0,1,movement vector,movement vector###set of neighbors of vertex v
1,4,1,0,0,1,shape,"shape ### neighborhood ^+_s^+,r ### movement vectors v⃗ ### s^+(v)"
1,2,0,0,1,1,inverse,inverse ^- ### s^-
1,2,0,0,2,1,transporter,transporter from west to east with vectors###transporter from north to south with vectors
1,3,0,0,1,1,bad,absolute constant ### special m-colouring ### bad colouring
5,5,4,2,3,4,Δ-floor diagram;divergence condition;toric floor diagram;floor diagram;divergence sequence,"Δ-floor diagram###toric floor diagram###floor diagram###(≪,,ß)-floor diagram###divergence sequence"
2,2,1,0,1,2,marking;marked floor diagram;marking,marked floor diagram###marking of the original floor diagram
1,1,1,0,0,1,template,template
1,1,0,0,1,1,Adjacency matrix,adjacency matrix A(G)
1,4,0,0,2,1,Degree,degree d_i of a vertex v_i of a graph G ### Minimum and maximum degree of a graph G ### δ(G) ### △(G)
1,2,0,0,2,1,Volume,volume of a graph###volume of a subset
1,4,1,0,0,1,Edge Connectivity,edge connectivity###k-edge connected###1-edge connected graph###connected graph
1,1,0,0,1,1,Cartesian product,Cartesian product of graphs
1,2,1,0,1,1,Path,path###length of the path
1,4,1,0,0,1,Shortest Path,weighted graph###paths###length of the path###shortest path
1,2,0,0,1,1,Distance,"distance between two vertices###dist(i,j)"
1,1,0,0,1,1,Diameter,diameter of a graph
1,3,1,1,0,1,Permutation matrix,permutation matrix###graph###permutation
1,2,0,0,1,1,Automorphism,automorphism of G###permutations of vertex set V
1,1,1,0,0,1,Weighted graph,weighted graph
1,1,1,0,0,1,Weighted adjacency matrix,weighted adjacency matrix
1,1,1,0,0,1,Graph cut,graph cut
1,1,0,0,1,1,Isoperimetric number,isoperimetric number i(G)
1,2,0,0,1,1,Weighted difference Laplacian,weighted difference Laplacian L(G)###l_ij
1,3,0,0,1,1,Signless Laplacian,weighted signless Laplacian SL(G)###sl_ij###SL(G)
1,3,0,0,1,1,Path graph,path graph P_n###vertex set V_n###edge set E_n
1,2,1,0,0,1,Weighted Path,adjacency matrix###weighted path
1,3,0,1,1,1,Complete binary tree,"complete binary tree T_n=(V,E)###V###E"
1,1,1,0,0,1,Double tree,double tree
1,1,0,0,1,1,Cycle,cycle C_n
1,1,0,0,1,1,Complete graph,complete graph K_n
1,1,1,0,0,1,Normalized cut,normalized cut
1,2,1,0,0,1,Mcut(G),Mcut(G)###Mcut_j(G)
1,4,1,0,0,1,Lcut(G),"Lcut(G)###λ_2###U_2###G=(V,E)"
3,1,0,0,3,3,proximity;neighborhood;graph,proximity (or neighborhood ) graph
2,2,0,0,2,2,proximity map;proximity region,proximity map N(·)###proximity region of x
1,4,0,0,1,1,PCD,"PCD D=(,)###vertex set###arc set###N(p_i)"
1,1,1,0,0,1,superset region,superset region
1,1,1,0,0,1,vertex regions,vertex regions
1,1,1,0,0,1,edge regions,edge regions
1,1,0,0,1,1,active set,active set of points
3,3,3,0,0,3,minimal active subset;η-value;minimum active subset,minimal active subset###η-value###minimum active subset
1,2,0,0,1,1,edge extrema;edge extrema,closest edge extrema###x_e_i
2,2,2,0,0,2,_2-region;_k-region,_2-region ### _k-region
1,1,1,0,0,1,κ-value,κ-value
2,2,0,2,0,0,"PB-deletion    of (B, x^B);PB-contraction of (B,x^B)",PB-deletion###PB-contraction
1,3,0,0,0,1,reduced vertex-weighted block  graph,Reduced vertex-weighted block graph###PB-deletions###PB-contractions
1,3,1,0,0,1,B^3_1  block  graph,B^3_1  block  graph###block graph###non-cut-vertex
2,4,2,0,0,2,skeleton edge;skeleton vertices,"tree of G_1, …, G_k ### skeleton edge ### skeleton vertices ### pendant"
1,1,1,0,0,1,First common ancestor,first common ancestor
1,4,0,0,0,0,Hypothesis (CS),dominant singularity###family of simple permutations 𝒮###pattern θ###corresponding series _θ(z)
1,1,0,1,0,0,called the Brownian separable permuton,Brownian separable permuton
2,2,0,0,3,2,substitution;skeleton,"substitution of π^(1),…,π^(d) in θ###skeleton of the substitution"
1,1,1,0,0,1,substitution-closed,substitution-closed
2,1,1,0,0,1,simple permutation;i.e.,simple permutation
2,1,1,0,0,1,canonical tree;degree,canonical tree
1,1,1,0,0,1,consistent,consistent
2,3,1,0,1,2,rooted planar tree;size,rooted planar tree###size of a tree###number of nodes of t
1,3,0,0,1,1,substitution tree,substitution tree of size n###internal node with k ≥ 2 children###Internal nodes with only one child
1,1,1,0,0,1,first common ancestor,First common ancestor
1,3,1,0,0,1,decorated tree,decorated tree###substitution tree###nonlinear nodes
4,4,4,0,0,4,1-codimension;1-codimension;2-codimension;level 1 adjacency;level 2 adjacency,1-codimension###2-codimension###level 1 adjacency###level 2 adjacency
2,2,2,0,0,2,level of adjacency;dominating parameter,level of adjacency###dominating parameter
4,4,4,1,1,4,clockwise biased;anti-clockwise biased;equivocal;ultimately equitable,clockwise biased###anti-clockwise biased###equivocal###ultimately equitable
1,1,1,0,0,1,monopoly state,monopoly state
1,6,0,1,1,1,Generalized Quiver,generalized quiver Q###Laurent polynomial label###v###2-cycles###matrix B###skew-symmetrizable
1,3,0,0,1,1,Generalized Quiver Mutation,generalized quiver mutation at vertex i###Laurent polynomial at vertex i###P
1,2,1,0,0,1,Framed Generalized Quiver,framed generalized quiver###base vertex
1,3,1,0,0,1,D-Matrix,"D-matrix###D_m,n###D_n"
1,2,0,0,0,0,r_i,green###red
